Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/users,144271,241,1400.0,3263.420521005605,168.14690000001065,40372.44469999999,3741.47445432554,39.83211950874155,0.06653825648679716,1400,2300,3000,3900,5700,17000,27000,30000,35000,39000,40000
,Aggregated,144271,241,1400.0,3263.420521005605,168.14690000001065,40372.44469999999,3741.47445432554,39.83211950874155,0.06653825648679716,1400,2300,3000,3900,5700,17000,27000,30000,35000,39000,40000
